Protocol, N, L, Time (ns), Q, P, G
3, 16, 128, 12386060, 37199, 261606295470066578276897393622839383093, 34024697951118974363553736916343918856
3, 32, 128, 11608980, 3038670407, 303273447288550938924744392275532002277, 260036381855395858956380577685156735517
3, 48, 128, 12529290, 171539895146639, 278749385369471686455063174066827450489, 51745326675140018629172933899231904007
3, 64, 128, 12072520, 12102569695605199387, 245574065825673183620815534049137871111, 195463149859611716177416507367013250689
3, 80, 128, 11817417, 692769363343120158077167, 322789063189131743631394936679959461923, 249941473407660041308539800197569860837
3, 96, 128, 12128874, 76084354337468972684062856617, 269386672124045173528550728518807848647, 147325512680574780877096674028071998154
3, 112, 128, 12779445, 4906904417750608398564016760658401, 237307711451254923371352978578961589163, 126556051416976106584725237775146904420
3, 16, 256, 6900398, 39191, 72050351573095956020954263088074169323022849815890589272601818846147616243837, 68879908868210352968830750252107503330361038614646609430184802602850111091177
3, 32, 256, 8622997, 3483204163, 98334228277896990222885982716652287634436652798324953768462463222347987072401, 61460176728743701998523325477535621126959927814369008359220141414228398174698
3, 48, 256, 7827479, 210051181495307, 74526597607988565199314253773369242325479156554173223497725799075022589333861, 15566060494639021099631124471279370255322637673601935353393863375885313556372
3, 64, 256, 7632532, 14908091413989965221, 105478856403226362262067609594751730703059865827830189236803612430160641341681, 2872763858249885461398158756419660951385510112153438954346545895879498291860
3, 80, 256, 9833880, 1178884378669035036351833, 76124130869439632466691821208288287645105057086923547544978009792970988974991, 46989511167765395312857165197017482018916378428982722687701150695067184227764
3, 96, 256, 9830599, 68195248475325815284164917917, 86211353387793603747560562765957016978894417301012089815573492209429571256133, 17781898631898274525367930923430036998005914502996858999467115050123810934463
3, 112, 256, 9492318, 4827233468011581042929758763522009, 81960019369476375412886488767076250563625600655848506841333867240009380601897, 32107491290201981640580997708826578363038437712996321123686493845554789023839
3, 128, 256, 9155809, 280492427000781169739092948730337774343, 79473913664444904754377314642165375437319199819555128183212335793683653807317, 20356379853269883759085195578430865740084788281364080943124434454257234120835
