Protocol, N, L, Time (ns), Q, P, G
3, 16, 128, 10496795, 44497, 254400357255375366464689535255502070763, 193165646830460089870898814945768564913
3, 32, 128, 6450243, 3268511891, 241864365542763890242702604183793602527, 180604117469027234128347062933426582830
3, 48, 128, 12642154, 245672232586831, 339459843042698833271412212787001152493, 77882282994476504309480412266498234786
3, 64, 128, 11431896, 10996303154559663247, 270920528190201042230755245824182127569, 22540567802651483789609343924392678946
3, 80, 128, 12432987, 1053082926894837009712531, 324525596973277722885968161718239092511, 117225589084415547114593879450467872752
3, 96, 128, 12332623, 71018477589961197313373915353, 281422194320273692443574770064479206213, 217472237889983485921799061610588658907
3, 112, 128, 12462519, 3826895398279802649898136743962941, 220934325133489566583919230502468509813, 129570961355055814877580876486432927121
3, 16, 256, 6709045, 60589, 115260928087010454030805426731943279301503104467379512438071782732983628789343, 43151567232233357165480151608336163648001360312107731199274838668506472272573
3, 32, 256, 7788520, 2392165609, 105637347473715443895004340455171055520736543630439327710973057657400171897869, 70017252007616891319768475304642715148906531275138248119642377593327317838788
3, 48, 256, 8032166, 232060434167321, 62213020799544886868451746260542147631632815494809903191063406612983322533189, 6876689175060073534401123818073701258884751248860751077448513958729942070827
3, 64, 256, 7508782, 13279014425947976389, 66004685051561385977180450323405077742533605869972447157939523582872171066659, 29010848634798041250896866512840709522639684653040595792134617426357488539010
3, 80, 256, 8408574, 765794888400709372156139, 95579416032086795887705671851468318118767082152813857741566792231655137622327, 56868206375502479879203347790693746155910171127455295838218857524126382701187
3, 96, 256, 8613782, 73446317618930740328762948791, 108904260948576116544742068476301299487098491171217790803863019767167334272757, 4972830915388843195741525607691245008696364513456060168201761492326921895584
3, 112, 256, 9179561, 4162500221324767462762129759970969, 76254361985953029896695110800734835944720826436231003203113247570767821491189, 27224504367595227378642563596639220605895584964357138911647947141141798575866
3, 128, 256, 9621227, 312801878410458807378881812346264222171, 115152698998279046705404660928447780429060888252612189798390030893675937662519, 43345985871080453596761702748793530664717615447363898850140626658247411264213
3, 144, 256, 10127632, 13031999165930342828311313280337330387737977, 97306540052644908039015979487371302383938987071103412311163169656781646560593, 83054609749940107376755957641541008527645157541243250476944852472987586834143
3, 160, 256, 10527736, 1095053112852857103889855348755292881747479844833, 86898255762384809001958315434163190333488527516328434423361533593176877345369, 37842341787574928619313816553485790316687013564442940850679688723962002217358
3, 176, 256, 11023672, 73427639624583567282485417543730176515644706153832369, 104185851805976808263658514075739936618161739043275328668695873784302983194903, 67971346133178249709602187828642880637365165896302518571604420809718663741646
3, 192, 256, 10632526, 3686066601266659604834877788780029387701572068461139640497, 90635339362413681856863616276964580026651666258457114036370835240085332583983, 80112555707850787352438178107657966646598680558667405931375158644180928542624
3, 208, 256, 11628097, 239351208520752430459071237934915931468900904564574159365601061, 58433003218568679156089875836263225233696518438165298674268609663194293721331, 41806819621962147095592135934975890949873551667515493311340476006393594438882
3, 224, 256, 11815180, 18336973795980761831378456629941486254642384392465437252152055928277, 93283578187002182245007108542016532791854808282723360547312654654708277671217, 65805863058773597159330806066624501742956876340352963267876417385486915141399
3, 240, 256, 12730439, 1238339379285961545823670038822495671567686822939472656070308283547649993, 78134261475427029695290284769544186893234767780188966707412171458722523958329, 29072212492604015053631603626708932762281749195084070447944361199009076295500
3, 16, 384, 7493472, 49919, 36445419751577327942486520903362614627859176282612806400670196596498962624935179888399199612845238769388742517967303, 24261788841964283865851742592039805544337062721641336628808199682513966290605060632189771649862188547377141000328407
3, 32, 384, 10539194, 3711348169, 30819166310941705842597270000275704297733305950845263545895145297705193283345863570626696293876051636505313704896103, 2241954584946698371817716458046618311088477695060766377505617424341716707887708382332430982992555172210047329827828
3, 48, 384, 9167790, 174267178513943, 27801185612384978435814597758428533613592738476255412312576264198187044798252009053441294903807339581516570662789737, 15815206083236473031713720758839714923738114799234418439895901571485576030797030604823133116992300695359204429932469
3, 64, 384, 9607112, 10719677778832568863, 25877931654828184926239523768290658177237116079807263514808080845032104480416728730609741562518596881671668161704437, 25321567982199267185915234160668982037128138538780353164787905290000740602138641631000398102084283810119420362339975
3, 80, 384, 10283100, 939729491469220143209159, 21099995165582073962330674974181951260590445816754397977656821272239762965206149528073664464789469402859590453574763, 4793370198401316407344225518993614369442669105935417964680420640107506019694724435922691201176824513968085691090373
3, 96, 384, 10923099, 49909884189787645062414728767, 29182167636641863380422134280948751588253470901055871574790684658313622047464366764393319400292878802910760619120281, 17423114437817431327631576818852529456935822420360576880365346865189596850175302215147755590519208196245772547756549
3, 112, 384, 12588563, 3314849199793263079252409684565107, 28552202954155728291589172483434641657697229439545288946000029183553195474428817792096567290182624941499972231384627, 25992828155028454763008875957414034094954211067497467236683621205855514784569652834526425076350381744449484049596933
3, 128, 384, 12455647, 318818695538914663144022037565760915489, 36091401442775587087219309455064763719861180315562447160853004012067805754607316175644661284635869624387999633146669, 34884419095353353498715879503019289702507664277644776031839169996868774374887605766347596941759960023985947174903961
3, 144, 384, 15300016, 21310536944236258948071955832883467219872907, 28036096303751414401334740048202888047587477298511918397842564662672157043387694674268711258503400725070801586779859, 25958005633382532424561978921425056158881751061310660834810112160967003839322496065479328760194869435923879021468144
3, 160, 384, 13516843, 1091699883200271772733974651541506362814842150523, 24406016180708313068104141697397719814070662742822992843184386430939416847786076534332120261673683532072124884257631, 19165397504915241467766204975614670493007934357329035666882346193893556816122314598739019331427629206486440539073439
3, 176, 384, 15630118, 57006781226793958475754017965877713417866150716115023, 38787544435236886226468743016589172061372761655973957689945814043568755844010143650712480907401742523870030610210969, 28790677389701599908531567443881861923984341635915970721562658376357564100315931453627617926470305906567689633767813
3, 192, 384, 15128818, 3327656186297353999754296778117328189624436594371265204847, 33008846966575619103780930978476871752866749832897801329199225095391549384299776579660048586839357792747855396479009, 30467561805793462928514655999673473327506736285579308684110485674065633432308298626317258047582898274461636756585699
3, 208, 384, 17310687, 393459366502312776956675532944099445952890053416499682299791483, 31832739261914479690320976585419054065121279440274318604350781029402965239190424591938010209047531084695598115746241, 13290241382190970891806102062756315065174620680175653521456305918925631174797009369742335690871530777571761874939587
3, 224, 384, 17269541, 23880891673480855994648815600327735991254211088673498443085912021387, 21109557573046386011802605373603361042450611619755762258032334216372360683494610612082951969945501910866360338690921, 8063752926623623242050608051828300592131799850340975948092623010472958577603842822789849083126174845658708073905857
3, 240, 384, 18283133, 1458629496218589003931593079918790109936912657679577269853192340711189983, 33396936675860478905186200816095819852358105858378468705123883029296709410973839831954231341461202204352276398168273, 22386125447072461503893226444605359484011174042410691979562585685324669699301941992355760254771777726566762513741833
3, 256, 384, 19879639, 106313957974293736424670761111006198770669061185728426333199226307926324825591, 32483452338836142907783712380232448889515095906979761504470021141756334176175922405285244208751736673119699458507121, 12818281276368442138931299209285876076352725809956953094630260985417048019772740778986169151749203337111933503406263
3, 16, 512, 8433833, 35797, 7137117836316978055911763621074535684611502501829607305258596089071029705996367452065334293172053299930392709349287807262631555346468107013243720915953877, 3251142149002344053458852716309983067610186587935986988310154655419038451294188877150715858044911658447846142187525745546205178923458082032617732544455848
3, 32, 512, 11160806, 3505883789, 8748676555422550748449790468586268739933293637712236483987865614320431836656687096518940445953273938123075583629678465685139764150272254116110184216454207, 8544653873296065738473458288824348253112154593333710556245417455607940528363866323495733599836996333370870353690193937879621495239301968657121520746963926
3, 48, 512, 11332264, 215134495746757, 10673402306116954238401622112023811305416930799253381398171608297980706428142799334511396348619021763438308079721690227064610939005209009509385430300880957, 1233696368087381652082515908704967112816667961572996161796048034958989300034830159570081636983903809417107446732754255517933778298846833011792203125100122
3, 64, 512, 12098981, 10532961738740672701, 12773158740083844868989470203499260585830236992928490520188114781793110090692520310948242490401647682803892344013645630027531632459160563129961990549281701, 7460228594101651200399421501347720781296306011754420705119679748165575000414333391747298197412745535665400647572078384384919941391557800192967496880693162
3, 80, 512, 14083872, 1160327045087745367365679, 6798062412685905952986778302149033626686920233959179719139931708621717755703106030906583626351209669494087982944174567110344811652565001160490507398605999, 1788533267314631482058996315126066467226774434125112642485352986446457156922363254644260365801060728729975249742630807344467717010903790198166275249123401
3, 96, 512, 14083924, 68760969045626626703149061417, 9492735289779996593584652488676160662256638899726444239786879748134344899037050203710714269327974155388092489689073804291353966189961840000350796553245933, 5761773728251667373464451687338076679879038923001659418539315396812454225081113268363014749902168350906432760802734074714739797732964192361186524588589063
3, 112, 512, 16850792, 2625311396232744100247447804360723, 11224413404849742179739160348262981951334841984895295573425500701059057809767267796813513580591564458486587080232122217149726984059316974159698547124426831, 7872896829425201595729967703649487163898459611692398704215317079574539721117229296409147403437456796759679353307017716138001681654353930829862414380767624
3, 128, 512, 21440729, 292614103353762316335237594655023746887, 11776537017962218792510849234441594298133833033011146490627516041628122939016979658527461357737453428317431214140535762304654448932996829732760602310406009, 9699409130110674971008959380594718890627591941189892884157741133763842529416760641524662481645964368579080986369613069758538360896911479581378731734432012
3, 144, 512, 19275786, 19618135671565988695643079520429036441575941, 8673397175784050900498171463859000264952880955454372131968975684684525412864489640624035906455406782990494080391663090286536167252588677080039049964554517, 2906098352986602731356188966743717837626245417659952049902215620479257512790694597068247594442691210500747183552503128999457425544651206009100484916690041
3, 160, 512, 19460734, 1206912849349887935073524154002645200511046074039, 7813255609728830413251342195453131635480485531942494521082108966489125548690116224702990626887358933794371709864855646615964470444863645478225091943255797, 144879270174022824021854560819441188886338098156915649036105089724862367416213167707750596509990093331865592710663830616843722293870638708835182295679075
3, 176, 512, 22440674, 80850987530376106311295846304090678835573497102213227, 7206476692539748537634990208327987528044713196398850590859839436868286670969403704092994279780043081480691892076113113884402549510784014293494776973976587, 451177474173499523773429381174081294663088824374935578144227776415626203285425354061282516774870611861303206802473159109178911835869536413485407906862752
3, 192, 512, 22057602, 6217829743223850649664182010966258149648114571449119049357, 8686699022271481577018222958252139408618668611189039438813375058615581735162067797800953491635370473472690076726818210291494208939577548863083203734896029, 7086444284721011956115875977472441389118840407106889209163388786084295403738179242335290039034768520187866822986813919524769628238319824855284447830922182
3, 224, 512, 27269516, 24986634534733325786025912761226746534605349122786633683075611376619, 12042786766007623896801471371745052250096693389769700832579454827482108765787450952830309668477047752615782568816504266841831980371137780401335678763574553, 5652665432947547537500130020211859533206028853550104248318736479991667151670697514501597903038270018513442291098599219288331448637495811389444711682281584
3, 240, 512, 28929356, 1303022585223750790149520673750852469130613014066607918975932834709704273, 8195108347141140049778376643593852817337928124171237710972013232421367134767311466199804121560781180019675058343006933438225119771163277801419914906291101, 242041164672475692826377306530687313908161197107574987583681295120439923495242954696453562646046553754425402708492368593061921763383718217201878018936810
3, 256, 512, 28684200, 98322076959323441854950705739341399672780902621836304817456090870539543980307, 9062771447599484954574786775877798801547280923150022581790098168249178786641262722245442428776360226661702857647039762155412005226532863460038207279296607, 488638644873167720229252548420683646265337198668134703497436955632111745024796859590935688506423566026743421455798042550272842773542367799487681721336695
3, 16, 640, 9033467, 53377, 2295524012796267381719244453672296702967239143635035183705326767927363049672225741833995002926070060898919896659217763003699241863566192627627339261883285756906601817187870995644487046830745851, 1198572752576979611055505089118839466806036521381175606235183013808072908736110132107494673385624529136695350920745846470481211704093197101368559071805349284402077812202129003925629547391356509
3, 32, 640, 12362938, 3505947829, 3871087843287085901596095531129429766234206411178382012437780943911407111996246681614260216589748219948234238544713502657237994868958775470087414843854267091658940731398832814296363476551299409, 203409465198137346842416175633918821217255455469673467447848539089058356043113651499943542851474361352778380112183443628905247413257725049299157414814672557402820812939902357137332958344796800
3, 48, 640, 14877671, 160029773559371, 3398690654092734512787221729946162775862224879718660747789163820590323555249466109023710728167597396783303992307255017855130712365129742842633169240639499477197686804515756779151299888055963471, 3396241762727327433100113949475994600502503724242150374218395600591569332967523809802405810658735652315152469834497405818143958867020244430607743943519533531715862478830224736355101276837482088
3, 64, 640, 15117931, 12886252969194093193, 3098310298189529269736202007316162075048792317513798736242383630495165219106503265248544922531369877258161192645335439070776018361957478610935781349773073079935616111843855102308237853180504721, 1913331437239715585449907807853255616328772141060952654085227869612018230348280080002235323596685261683194077222124648884031322322114022757279047883809988649740875971323256664622076303906811940
3, 80, 640, 18089122, 1018826321419980687685619, 2379697829471901139542525726221517734078737935537741020077531144279006134883723004277462094007288073596799565497539404615104413348440907685373112437192382353356228057832922177117308695738777701, 521653655126534513606286796720662554067076189341726214500570064637733305452727310427116943734047370455337631419758274847042079789288504584263061631552116103614129538185531133776089628760150686
3, 96, 640, 18529850, 56670501365260538287133651471, 3006974727388731430511106213487000688544737776094662660719425659095130474148765786386946942283079926208916356898770591240454328996414595820983057804553508183559240122071112863313955691910745067, 2503749268522627293683842243708735983676026522549248576838230401576484913912976203453606137761698665926929319102718852426929791703904599001764940923578669781205207888006923010246021632142960425
3, 112, 640, 22195309, 4958340599064407146568156507553991, 4414224671897813878490092766053953753554889686256692580558263565921308365947379005185546314930861754856127515145379810490945014754847468542927827861111918476096159411346934742064731599656780777, 3005885702211164251498523054698557559012510663589541547423560470148553190172254099674319513633101993269183374570220809738098925569167253227025107283336203859323252054424245247572531281880447648
3, 128, 640, 22233070, 193583380221425884784048021524501414453, 3067588750073051709957211599691712526856917011929842732405005877737263980910724483591879769383967163144374525266655960664100451513114762076355164628985126538578924611283796270808309997032476031, 880980135170290297937558581858811500660485263962470061088811764360276305173641491432117967111392743869733745762556780004674423120481742418390101462994372768003016148148165988327493532965210634
3, 144, 640, 25240302, 16819149973952735873726302553340400988323087, 3638593776281453741880858662762597940411659847825572078855684831805918355850941543442274923784670459571573457753072143788954079752994675098837328605887042354179079104996791269043654967756600731, 1811039410833493786669709292209987417740841451819649478228265105908893347760396864016663881362136735413872893133873627355745622401895018455922976885142142219788615204286059916319939884810866572
3, 160, 640, 27276703, 1212683187221264611270223613229085585428347030269, 4095987293750146573718254982730075097073873291700211015143167627164948152055179468932300478225627088403824871079003329437050322415280765934904577845218741493488823840892784408387381643567091239, 2731582548932265996668003903091573000532234621856867357257015585498391346575757469043069352866936652677409346082146174882942148413246996136612223271812301434837134841597906857933864014043891571
3, 176, 640, 29890864, 76956238186080966826056263726362132561123069280885609, 4059369112355227782482233006459895935220286325815805793021176648962578741676412069627565126656436984112981292719503371448032859898694875458116972485871155136712384558389121852674764009317283347, 1479551220492174561497975497031724315511750429406208566517429695066877047105721927804517121461603827760112759602128051928218348160460088558490619013416230495502210899299727700756980848299384588
3, 192, 640, 30228466, 5584177186372626494604743777834488146187855032149430824813, 2637039314202184453010709571918067085781803726561268193455310455641415711102348439294786477006555282897143244979664015361934220028836412299135116509579307789666177947201943656611411469530280971, 2204447856597420311203256572932854544406749975442737567673931535425741959695997218811223119542766848862735600708769672304790975313851374721880244787663922529714483650227179974838246572053264832
3, 208, 640, 34325956, 390567260321175030958244976825723584519668046189969362014484243, 4525202945999507254828977052648601474887943506351360139477909303112660543674192075055633200316096464546823380193095902871886529321157288038449416324883543102705721163121555739954047469159068589, 849381472784449457960485655297095045828586419353004615796080107303110610999318010067619274771629113093943432857384290162171735539788397747493231033931840746046701192605634481332887402417406437
3, 224, 640, 32692626, 26844292531715814172713037146128790435144118689678016187989724908297, 3858638695193239355732124831007847612699904905013551070833386608118010004408096752525049709536111189473608900694132185253185024439251399289192888575609634753311019694768141400044452842944254347, 695131073241459798652525917815463581374465456365690408011099746439990541773026820546598815836871578836698586035409999817809044453167315226556323514659868676067560080442745983976869062237270941
3, 240, 640, 36867304, 1686598253955943777385431046050753676525248734745371044677342651906197823, 2717453564901435177484764458063516156275222061600810754056894292681936054309267458731842520583173462012882136195210119005204195218406556420802338263213921250826120781058080040322501977864999021, 1436659826379714575557832148048288576582083210825232443537714688555082818837589433739983717303096592416996832104087645653069578551681707971307008529827900451014172661193563865875886000216023055
3, 256, 640, 36862408, 105570966024870090350621544133033961176061367582737598270214670021273066991287, 3983874086662117187512666781675960267997795304870879020123405318944993222738569484193558521492346198650380826631851953026971151589899303981607479209889976496170853562402079101705016056640139749, 2021570507794570041342934415559246504012036971982070876256143032513207551533380467977203394411351644077465940637754768595690837911730913649441421606333278135229826818433553476221621289358127753
