N, L, Time (ns), Q, P, G
16, 128, 922290, 54559, 175034911162479103267161680205182881013, 10636767807741103936789309064860129011
32, 128, 1275779, 2276269679, 315060239681795661238242341514579796861, 138544027736486099943979915099214768697
48, 128, 1045310, 260784620772517, 308080710659892659543432389029719538109, 103844672891147701592421699791560399777
64, 128, 968747, 17964058521441999763, 298746458847980212049464544476482877451, 211999028946927829241473453962773211329
80, 128, 1208174, 729747736193390319909241, 302762701236754332756437340176252333383, 202006271056683878572837284921249847525
96, 128, 1216872, 58769436113779750726898903563, 328802699902868341455349790915370584771, 180976791050673861140948798424678316754
112, 128, 1371299, 2968659542721040042541287895251499, 248233373643247926277217411225139843383, 170328253488433694187600668772059428009
16, 256, 2651348, 39839, 61051082882784342676293029904616524178939782812660149695876136661673539206591, 7954727451856297617191284681595296041521442440456550989850295068914828319829
32, 256, 3515304, 2276714723, 62871950835690785524692167004676633156642492177442033831635119968043626974489, 1307263858074550815313906258045727269719052516383120646141712437206368930277
48, 256, 3155774, 225047186513087, 90962468916772548080093232692449110843028205394410083113788454591136940910763, 18622596844474716704918199285843638267095447346408362426318457960502881393424
64, 256, 2964993, 16396944471437654171, 89980815736316244417636108789734869874611022267775400873960839968781529198741, 59837855803783765524089564848286748259565820945348166638028018567847442631753
80, 256, 3534367, 1011831498780476176428331, 59953377189522685903480063958456079307387156253857329701282391913658177176369, 31255350040637628673972551880093343695735162859866557783051358513011931669429
96, 256, 3365617, 73790708225768004410820410203, 97277826407672139585563113686208489410727024748923159599287555765036659723711, 19377929637171346542005823127992993590646719102877416591707529171201404751356
112, 256, 3985616, 4869461261807912854340094262324237, 90400737935933550757607415174180959206700678193667804532557647850316067427667, 34379136509694810673869365349139768894444746876083008976474832207397499739067
128, 256, 3742752, 297899113286949123574236313834422297121, 78384699196975307098296428460405411663055787046462480040773472993664075967119, 9840682951746150041182670758728411743826953667328540219321074639432128664983
144, 256, 4410510, 17682055693596732669831865588628563548642167, 110555227289114646920577114126160965282287957691791247336576679569190252494431, 83633725087323049833177275752866247311876248567245007398287587804255071723199
160, 256, 4341239, 902021327462979483302717216722303668367321825121, 88443900488211327574337268612714540487453019628826464234739337263578552247919, 15634476451914072921656478908239731319914384223982107348310864417029879209408
176, 256, 4780978, 51826671640785383986418835422097708142504011420574277, 110985430366679044719929569033686548299215464898632650596926798838760554329123, 39169179904326929198450270960577871825150169540048835306975161843965349246227
192, 256, 4526500, 5887003811948909701779366120669140130411597678783078616427, 66873109904791826453299992025835049152213934386550166693393349681893826254291, 36165379046473928021192504215787437126169283165527174569416062367215512984152
208, 256, 5142905, 296972649839911354393969693519073515609875866256565335544890863, 80332837358293093508134653848800747915696756138947022494214253053312573561091, 16974226360230863681338923091035242635175541278030294417453384492907702140991
224, 256, 5133634, 18877771939601636852968391131834823141964442346561657274950190410653, 85445584409778295506145609636652475289108549328841459042655554763715805882593, 40898114282155298182278072273677842693468685129728797832083809994450715715471
240, 256, 5531289, 1660098798313887128674566095085012380480057691688356546155775991382426929, 94233848187489488972083069821405642765569994810997870985986468374832082197757, 20102553835495934039862233668686117987193723754134928636054781126543712113065
16, 384, 6139725, 48049, 21572636805794799066482143362777033744770919089687182078921085245491834481789406408036693414522788882533764578848427, 6736303315564540065233593413973562518822108931455975073950725489337797271896604257233525235009484186729619027877009
32, 384, 7122900, 3255406351, 20389806499653156006545214916251594634705523057959511827067538015069042801780964950086722612656052931755774454317333, 18982848328742537451047873124035093205871676387056686770745331103406461252969629944437105460734138544732570005251141
48, 384, 7227118, 239884576309307, 25144611374440735006687162347215016059368964146578808535497329207962652609431409219343211833159145714839913885696573, 6252405346790602837661447639830520536858693942135618398098053039333286904466880587858061751165608553278730971560382
64, 384, 6819567, 18360804344280231611, 21924218444238177608570311798575146849302749543620882400486135470825400525264826094100279480421170912425401866601567, 20983594475664231994864939466850938007139233453715318120574817465787532811984316434660780683896641089386598186385756
80, 384, 7964616, 1058223208968388267107869, 25671373500700989559836222673597431501834063047541291028902543449140547784394288702007736614234673064663798020188051, 17588835604435317420103681233144066612077580843274020096418286308826171792156749508718316665802259444976552556511971
96, 384, 7577117, 42339801755955572800118491289, 20329162078370912474635678231069909630427882699947558922003140846350459157394843279678048413523600564546674115658431, 3579869413427412051476526232641209353443057360193465862685289320492660472901124713164652573682445536682828479246560
112, 384, 8757844, 2905020441791793048178043289327713, 35954767712570322400448972630441603075994784318601979114884804123816649253291678351515575956429767552105975794277683, 804736060636057957813636335771664991865607880942292067547263611654829523034824200748663349390052488876821376188555
128, 384, 8439147, 318492193963350831468773510356170466307, 29770773121618452046322224602212595705959059966926349672022039308490547023432746555663775811598037947395596615059277, 13935770782638216374687840982782719910893527879336238419424842334339895377642649112522885490737956694215471339369325
