N, L, Time Proof (ns), Time Verify (ns), Q, P, G
16, 128, 1445465, 1467705, 60149, 326837783577137898959464277669299614197, 154716458281796395367394304316728648157
32, 128, 2406921, 1608433, 3630332947, 239847414503288103780584650674217859837, 113384176659297131409571396184218061551
48, 128, 1902860, 1538121, 235150674701561, 323204925325533066212342949237718391329, 251507191836484542820185628547138788561
64, 128, 1858433, 1536611, 9424839258733344191, 253676260209602981064828708765108404351, 181646313444927805832376323175042884462
80, 128, 2300724, 1607496, 704444963598916396127701, 262487374202642577246224960765976027701, 115505728152947064866121034324986737273
96, 128, 2288120, 1597183, 56943371437721941694375642507, 254597477890120075847057647332641040437, 249921510533991422763586437016414295801
112, 128, 2739941, 1703381, 4009598306325043635806369702602717, 312283554489819698531143297917510010829, 37556476300521136365506462561774085988
16, 256, 3549210, 3518220, 34513, 61171425848353600570941243774096412481412460523155584983538143312183923673731, 32979103621174466256040894100755915645489752693963961466855174556306520748015
32, 256, 5184102, 3891345, 2934632287, 111937296242980171511056419944944863366065236974994569308953186381839271279369, 20840244409896944412143532671303251213461469316418782893489745663653542847229
48, 256, 4993738, 3750407, 272995714926673, 62302181294665888641761247073954206899165595923767072616321860465621732314587, 49907968501120637302707225928577295838404604239832076724607812036915372595320
64, 256, 4820717, 3999938, 16056891197894562083, 95688344038582450175683029756812690285119031516792576865371290763569779831409, 50422400747364012260165624773577071220780283409095184380103653987486948802398
80, 256, 6128579, 4001605, 895132076694136799949281, 110253998517766784690449659593512161009620335479555327003030297834296133341801, 29623522251823439644605938724877916165643707261993336168494401025209725744569
96, 256, 5892954, 4173219, 59623603667290513302381278407, 81951039995337971258875020468973508235481510056714282756857109329645985881989, 63600965869667108197197932621180479580239885728486253223171698987642289829613
112, 256, 7208263, 4207490, 3297621802600115192402981841299189, 91294445847666593922834345016342784852438809541968251578234219422095950413439, 63158751500151552292473129690797364430285458774094419739240249105334765388708
128, 256, 7186232, 4180354, 225603093645723431648831338158717834691, 81444705530046265044916929512996053446653939764758431766851141027347754259931, 48010477809072647549850762352961598239296965878537921763209982324019257646965
144, 256, 8322792, 4401083, 11355558893458259561571488782929786987724583, 112700967617161002482472726121397234211788246646287599982810277037380540411919, 98588500411636286364060143013880003378638087984324384858865857602082842425706
160, 256, 8294042, 4387280, 1197988472362541062281560839294400574275821058329, 112418599167809049966329141300287115478231202571919919415177889242703770202829, 26037193045215114827674784832744247132673112614793134508825863363828390068327
176, 256, 9284717, 4522697, 66551603892525398012191711269192981213568456718970257, 63630330411196207570789790914669390625611114126935720297356842356405075592709, 49282715115170829830305246636731638737776121951297292991908401087677964579108
192, 256, 9097425, 4517749, 5942537896959059477005336510324657681504432227534890589097, 62267688385519764858260368917512865693725079177970856439089091047119271913719, 38491272853502792751140695903779000448342959046706957125070588873926706020996
208, 256, 10495756, 4791447, 240147402144586028193321403911821115644331778072040524740488177, 92113829586617573294889910170537842320924072804592741109893089757817137518153, 91956763313479207128206841494881628273234023734634872361818296972280873687634
224, 256, 10458203, 4737697, 18673371007160381911594137178150751618599892148478709529061747059473, 60004610709576133973902164647357464112521248917829939162388257963276477239909, 23872646103422358771513531070813464046073176205903630909075948256814753217965
240, 256, 11536794, 4959623, 1668832950765292392570544019166684799441003746783198388784141546374554269, 66399525445049453715596805434604054800158657077009897492943423847150765254973, 18307028381213978977273484706718766229336218833162751658325456080450781151219
16, 384, 7354617, 6596026, 42473, 36885935013469815379730546788684795026086973616995341582140661447102478824643497904204926450930282774663219407293647, 17984127890898195315638772615027996924580441340961888758758801004871624726359755900029660529981210065649620526364649
32, 384, 10912681, 7094254, 3202088537, 34107891397466073917264838223507322247321556010692612960720790045234788499011496312016775298336413826463617803893391, 20581550133734733728909010936920322288145896830407843767845850482072011476517731472881712210235178888413684360845617
48, 384, 10514453, 7059358, 172638500688743, 38860795711761466322131400578766499541442109968814142488141613369904627575002952849379313916473618695959317524842489, 28730521176510013569777188729775991081659272070492833953137445464088777271551071622879182940097788260954550376612007
64, 384, 10094402, 6997535, 16687854710023501679, 24026181330356012816730939493251284904032821474267695549756971550402533691189647124658517016616739587520549026010843, 13494782326065941094026830460095579946335156078969819803432315441948363537771096543960799068202176782076095784188267
80, 384, 12622313, 7443888, 963113846295686164817063, 39037134794410913812562779759544112765647421836884044606136166204818186084400720011400157128315610748048475854644281, 25003162597002504398995649874659412943197256209536110178051624549432654131419210839130683789110375638223153148617966
96, 384, 12599292, 7410555, 58756306495589630357481203641, 29601655625496580126527585887344667833427466297891588708650325242581640895167062403508077904681676725077817592986539, 9482511138697064529147551996712421350104098484555291254639257081423666187220238292932280325109175771065222306313201
112, 384, 14599548, 7779564, 3929004367500044827612811979751099, 27256201791019520298986176920817181021413911413878967449558464453847912631643207215083679032092706285723543534780417, 18698999285782432372760410542085740515832729132022260764449824829968344076730026460716765342137651725380631315381171
128, 384, 14218819, 8108677, 286351872852701298118396144340630478901, 23112506391121245083437425508399407992614101046765785639558244572396816519763004713634898275315292940143501073197289, 13046037075704019412087533298838241345181314374750440198561701502618209273745181633662239794990161944953355051676002
144, 384, 16721104, 8175188, 12422034243123245702908134756765491135257217, 34231240954974979841083598878159551676729164170267989928623414372011159904736232311842179741000222301308297756330097, 25040599036139671040076104935985788866681585858346784910960366171633721426619930097368828527494850661092584008878057
160, 384, 16222512, 8116178, 1163028962630624017867900330958364861503445318587, 27829969706485009401858300169665098918191073758635993973296591789432630829683208510369182463276393378507328872893263, 24739177085162892573181091185787850597130662311930409054498379536936807928105809997044790629197361686942047174531775
176, 384, 18761464, 8543051, 60757090934917262056341870100295292780987137702707397, 29508050314941660123877920449185554966710026152857399161109396402274292436897453585014721957923789289547485009713921, 24824789477601575709830331485980182673045035593862899929192844717990093293655842568568754574127683660306304370663048
192, 384, 18174694, 8432375, 3385081377853245880536169447812964117230366687949220900699, 20149466673183544536360332956711472640053506065973237942427000919869027168170406386245281433468926979654833843520469, 2968246378908891385431364819754412925933137094272248026199237896983861956483685238562011551768420905211741489428885
208, 384, 20735990, 8841385, 293346492840671519371819761990224355664547889132489066720927707, 27782734843758910481405395979410607834603750856998257277182185997322855080403552765586282566950127114647773041922671, 10887070722679647797100868926393642933549139418792407269236349890988516269778219795153099144353645441776410287301506
224, 384, 20843125, 8899666, 18422845430630006743957039471656118095357470049342504372060345703903, 36337311091550095798939319314488196786842213419185240593717875684247475046839781430610150446049603960435512221949979, 14435013444208117756427770044109302474003938556568899056768112102071439707668676569315228691780039177638450895128640
240, 384, 22642548, 9217425, 1557692549790078878320820295582964045201973463381424718357664615349047571, 20232212505460040819649377347132029322579407458010754911902246975960346641444576649468043773853735135581892780853743, 5341903159797990685709508616237414069358475901979773807567000624920804876605421533160113974830617043496209183166637
256, 384, 22447497, 9292372, 91976203915702094776269889781339299019574233931106702395216506065240391850923, 29254012459657495370275120218229766493103683290947473046384193783358520784369154083930305810034883501773618117709077, 22870947307686855180158963424523780491870156626796766382474352681502269333789465668981348208983406379199851455498886
16, 512, 14632359, 10722474, 54907, 7858838275226955609443115651484627755022432228348281310366607754540248740921548755364176452322006664384815728360690767763085425488875203939081535954231623, 5774400043860566399915760182716516150233605233697989231868662744697292246300878054643779791852578350065216720015495761235035699317854760163760285311090548
32, 512, 18763391, 11329712, 2333347333, 11193313800200870039818775192757368170192538858282678415095157569629178569776828770849564646486068016430911686806923084678662664260289078728392823776879043, 7692161956305307329898037237415721891425809390881591537851101724173648628041066770563747220189224527709130940430608425798007838562189720841043733881717725
48, 512, 19449536, 11512107, 167034100583149, 10795018321520757642133474183202677254423559327263989088325573527336439138548543681925249313678250492516989021355106542918410350795691688045819618597651743, 7785097430995752645889365575082014717893212097689894102852174954118841135067473582816521250014806040051518275449363481803564246591043002292497134591948966
64, 512, 18726152, 11413148, 16585315998125949631, 7580989813542501542456978755294781252677918396786082155016759852622466194705807927195431973713305529843167436581106989842404390397557961067541360145591439, 1040260778527433235190223150718954517579692658113729062177462130132877413277290029568551689078611041552190506885084987996681269850114290874298771488553280
80, 512, 22728798, 12055856, 710377258109881321621033, 7034642047242390947073064932771180149672632416324241893688252110892598526156204113228253636714260417354140749890127247958496976164549754284833017096917961, 1030603029990247538299702272604967338890729594376421497853019760333899466774514365968747690052674518043742124908060636996822188114349097203765687558417080
96, 512, 22139216, 12690593, 67547083951078916037439779203, 10929360552582738710463497824069635436262584437420718485188554601587622371813650387571679538973765939747263242930212251299503101883269073890489926705030899, 8855440344327250306893536890435363887851283650514085017756973110478321034861416665714957811059570161069048804340413621754885627124383928983227015198062472
112, 512, 26251341, 12754656, 3414447175175476620227401085441081, 11782068136430574871891045274429038714352759941585006266836555512152758045202491273611348547623870951502523808412010139123297894668521187137323760069545013, 11715864789644488741326029694055738502929442142082995694085383668844935080868484614142976569464040524043946318451324269092900411426519931939434192952284013
128, 512, 25434155, 12681375, 290678243780107087499579414681340761857, 7783933631030759586617303150827385900977010662737350753877536421289104500248304961526638327001227768631924610606055794234117868882825764714164972319740687, 4641346886721357176899453557717815909846292631466866444280373078378753245793397334014736968295967923794172766852224706572413697226488485381502487478532314
144, 512, 29484979, 13407519, 22030361409403887555577990702100830939424603, 13308652965337718777765204749774590096262212928259470978856824800644462903191197735273563850640550178849472820715509165999016115479805758574372948394968079, 6483406417782245411692819714900574905867250977256495075596133175182010004870369082874463851450575244738202386402842206937672538725886186225456792303766748
160, 512, 29490656, 13327936, 1251060978856035837061558258925381342961798436901, 13177701250122661266270878584175123831903706757093728131561983849117590460662142050423459895961754313682495311388697049041289853634012856953661838691969973, 5604163299024568911093332306714742387445385087680352786316204689358068795588336796848797458474193259898912789301684112954363989413232395794484066681029505
176, 512, 32734867, 13956423, 86996836762300158108815222820076322085755605704933043, 9776688451589356320478674426320207897806388527202784915702181746706048207072815883004059771117951021785665666113020597563281528173912531868823594992403437, 6460915337790205964735595464757661184187483990431402333576991039329563897824976305549089889641956145527058414794074011428732852419487447262107911210702133
192, 512, 32130806, 14517100, 5935991917881615088394657804379619813864576113237276050021, 8052371418838932642454238618234564626719527971445168352700260229550932683289295149331366884442367783032327016156085059670623111462481482483410183154690977, 2692270490289658105492776256428639594620700279625750656668271739942049505354745657964506222596049934934099614966128554411087265089155967789505580465995165
